date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:35	30918/30918	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jul%202018%2019:23:28%20GMT	https://svencreations.com/stomp/index-local-countdown.html	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/index-local-countdown.html	(from )
09:56:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Mar%202024%2008:56:36%20GMT	https://svencreations.com/robots.txt		(from )
09:56:38	5900/5900	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202017%2010:51:12%20GMT	https://svencreations.com/stomp/images/icons/icon-196x196.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/icons/icon-196x196.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:39	4367/4367	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202017%2010:46:28%20GMT	https://svencreations.com/stomp/images/icons/touch-icon-iphone.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/icons/touch-icon-iphone.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:40	2542/2542	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202017%2010:45:58%20GMT	https://svencreations.com/stomp/images/icons/touch-icon-ipad.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/icons/touch-icon-ipad.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:42	3636/3636	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202017%2010:46:42%20GMT	https://svencreations.com/stomp/images/icons/touch-icon-iphone-retina.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/icons/touch-icon-iphone-retina.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:43	4519/4519	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202017%2010:46:10%20GMT	https://svencreations.com/stomp/images/icons/touch-icon-ipad-retina.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/icons/touch-icon-ipad-retina.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:43	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Mar%202024%2008:56:43%20GMT	http://svencreations.com/stomp/images/local-cd-twitter.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local-cd-twitter.6.delayed	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:47	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:47	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:47	152444/152444	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202017%2006:55:02%20GMT	https://svencreations.com/stomp/images/local-cd-twitter.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local-cd-twitter.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:48	13544/13544	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Jul%202018%2018:42:38%20GMT	https://svencreations.com/stomp/css/combined/sven-essentials.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/css/combined/sven-essentials.min.css	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:50	28359/28359	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Jul%202018%2018:44:22%20GMT	https://svencreations.com/stomp/css/combined/page-essentials.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/css/combined/page-essentials.min.css	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:51	6217/6217	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Jun%202017%2017:06:22%20GMT	https://svencreations.com/stomp/css/custom/index-local.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/css/custom/index-local.css	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:55	25554/25554	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Oct%202014%2005:38:02%20GMT	https://svencreations.com/stomp/images/themeforest-dark-background.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/themeforest-dark-background.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:56:56	7226/7226	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Jun%202017%2006:20:08%20GMT	https://svencreations.com/stomp/images/local/stomp-logo.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local/stomp-logo.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:13	181973/181973	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2014:46:24%20GMT	https://svencreations.com/stomp/images/local/stomp-1.jpg	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local/stomp-1.jpg	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:22	155997/155997	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2012:28:42%20GMT	https://svencreations.com/stomp/images/local/stomp-2.jpg	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local/stomp-2.jpg	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:24	1997/1997	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202017%2017:48:04%20GMT	https://svencreations.com/stomp/images/sound.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/sound.png	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:30	190541/190541	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2012:23:16%20GMT	https://svencreations.com/stomp/images/local/stomp-4.jpg	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local/stomp-4.jpg	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:30	147923/147923	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2012:31:08%20GMT	https://svencreations.com/stomp/images/local/stomp-3.jpg	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/images/local/stomp-3.jpg	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:32	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:33	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:34	960000/960000	---M--	200	added ('OK')	audio/mpeg	date:Sat,%2004%20Mar%202017%2007:18:04%20GMT	https://svencreations.com/stomp/music/stomp.mp3	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/music/stomp.mp3	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:41	101743/101743	---M--	200	added ('OK')	application/javascript	date:Sun,%2015%20Jul%202018%2019:49:56%20GMT	https://svencreations.com/stomp/js/combined/page-essentials.min.js	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/js/combined/page-essentials.min.js	(from https://svencreations.com/stomp/index-local-countdown.html)
09:57:47	23018/23018	---M--	200	added ('OK')	application/javascript	date:Sun,%2015%20Jul%202018%2019:49:21%20GMT	https://svencreations.com/stomp/js/combined/stomp-motion.min.js	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/countdown/svencreations.com/stomp/js/combined/stomp-motion.min.js	(from https://svencreations.com/stomp/index-local-countdown.html)
